"skill_name","jobs_count","average_yearly_salary"
"sql","8158","96618"
"excel","5387","87091"
"python","4785","100826"
"tableau","4106","98844"
"power bi","3166","96824"
"r","2380","100248"
"sas","1004","99060"
"sas","1004","99060"
"azure","957","110516"
"looker","920","104082"
"powerpoint","913","87706"
"go","897","112721"
"aws","839","108317"
"word","813","80435"
"sql server","681","97786"
"oracle","675","104534"
"snowflake","649","112948"
"sap","571","101084"
"flow","557","99245"
"sheets","525","85688"
"jira","420","102446"
"javascript","410","97587"
"bigquery","407","109654"
"vba","400","88254"
"spark","382","99077"
